Wavelength 1,Absolute Irradiance 1,Wavelength 2,Absolute Irradiance 2,Wavelength 3,Absolute Irradiance 3
329.759,0,329.759,0,329.759,0
330.014,0,330.014,0,330.014,0
330.269,0,330.269,0,330.269,0
330.525,0,330.525,0,330.525,0
330.78,0,330.78,0,330.78,0
331.035,0,331.035,0,331.035,0
331.29,0,331.29,0,331.29,0
331.545,0,331.545,0,331.545,0
331.8,0,331.8,0,331.8,0
332.055,0,332.055,0,332.055,0
332.31,0,332.31,0,332.31,0
332.565,0,332.565,0,332.565,0
332.82,0,332.82,0,332.82,0
333.075,0,333.075,0,333.075,0
333.33,0,333.33,0,333.33,0
333.585,0,333.585,0,333.585,0
333.84,0,333.84,0,333.84,0
334.095,0,334.095,0,334.095,0
334.35,0,334.35,0,334.35,0
334.605,0,334.605,0,334.605,0
334.86,0,334.86,0,334.86,0
335.115,0,335.115,0,335.115,0
335.37,0,335.37,0,335.37,0
335.624,0,335.624,0,335.624,0
335.879,0,335.879,0,335.879,0
336.134,0,336.134,0,336.134,0
336.389,0,336.389,0,336.389,0
336.643,0,336.643,0,336.643,0
336.898,0,336.898,0,336.898,0
337.153,0,337.153,0,337.153,0
337.408,0,337.408,0,337.408,0
337.662,0,337.662,0,337.662,0
337.917,0,337.917,0,337.917,0
338.171,0,338.171,0,338.171,0
338.426,0,338.426,0,338.426,0
338.681,0,338.681,0,338.681,0
338.935,0,338.935,0,338.935,0
339.19,0,339.19,0,339.19,0
339.444,0,339.444,0,339.444,0
339.699,0,339.699,0,339.699,0
339.953,0,339.953,0,339.953,0
340.208,0,340.208,0,340.208,0
340.462,0,340.462,0,340.462,0
340.717,0,340.717,0,340.717,0
340.971,0,340.971,0,340.971,0
341.226,0,341.226,0,341.226,0
341.48,0,341.48,0,341.48,0
341.734,0,341.734,0,341.734,0
341.989,0,341.989,0,341.989,0
342.243,0,342.243,0,342.243,0
342.497,0,342.497,0,342.497,0
342.752,0,342.752,0,342.752,0
343.006,0,343.006,0,343.006,0
343.26,0,343.26,0,343.26,0
343.514,0,343.514,0,343.514,0
343.769,0,343.769,0,343.769,0
344.023,0,344.023,0,344.023,0
344.277,0,344.277,0,344.277,0
344.531,0,344.531,0,344.531,0
344.785,0,344.785,0,344.785,0
345.039,0,345.039,0,345.039,0
345.293,0,345.293,0,345.293,0
345.548,0,345.548,0,345.548,0
345.802,0,345.802,0,345.802,0
346.056,0,346.056,0,346.056,0
346.31,0,346.31,0,346.31,0
346.564,0,346.564,0,346.564,0
346.818,0,346.818,0,346.818,0
347.072,0,347.072,0,347.072,0
347.326,0,347.326,0,347.326,0
347.58,0,347.58,0,347.58,0
347.833,0,347.833,0,347.833,0
348.087,0,348.087,0,348.087,0
348.341,0,348.341,0,348.341,0
348.595,0,348.595,0,348.595,0
348.849,0,348.849,0,348.849,0
349.103,0,349.103,0,349.103,0
349.357,0,349.357,0,349.357,0
349.61,0,349.61,0,349.61,0
349.864,0,349.864,0,349.864,0
350.118,0.1,350.118,0.11,350.118,0.12
