Wavelength 1,Absolute Irradiance 1
528.437,0.09
528.678,0.09
528.918,0.09
529.158,0.09
529.398,0.09
529.638,0.08
529.878,0.08
530.119,0.08
530.359,0.08
530.599,0.08
530.839,0.07
531.079,0.06
531.319,0.07
531.559,0.07
531.799,0.07
532.039,0.06
532.279,0.06
532.518,0.05
532.758,0.05
532.998,0.05
533.238,0.04
533.478,0.04
533.718,0.04
533.958,0.03
534.197,0.02
534.437,0.02
534.677,0.01
534.917,0
535.156,
535.396,
535.636,
535.875,
536.115,
536.355,
536.594,
536.834,
537.073,
537.313,
537.552,
537.792,
538.031,
538.271,
538.51,
538.75,
538.989,
539.228,
539.468,
539.707,
539.947,
540.186,
540.425,
540.664,
540.904,
541.143,
541.382,
541.621,
541.861,
542.1,
542.339,
542.578,
542.817,
543.056,
543.295,
543.534,
543.773,
544.012,
544.251,
544.49,
544.729,
544.968,
545.207,
545.446,
545.685,
545.924,
546.163,
546.401,
546.64,
546.879,
547.118,
547.357,
547.595,
547.834,
548.073,
548.311,
548.55,
548.789,
549.027,
549.266,
549.504,
549.743,
549.982,
550.22,
550.459,
550.697,
550.936,
551.174,
551.412,
551.651,
551.889,
552.128,
552.366,
552.604,
552.843,
553.081,
553.319,
553.558,
553.796,
554.034,
554.272,
554.51,
554.749,
554.987,
555.225,
555.463,
555.701,
555.939,
556.177,
556.415,
556.653,
556.891,
557.129,
557.367,
557.605,
557.843,
558.081,
558.319,0
558.557,0
558.795,0.01
559.032,0.01
559.27,0.01
559.508,0.02
559.746,0.02
559.984,0.03
560.221,0.03
560.459,0.02
560.697,0.03
560.934,0.03
561.172,0.03
561.41,0.03
561.647,0.03
561.885,0.03
562.123,0.04
562.36,0.04
562.598,0.03
562.835,0.03
563.073,0.03
563.31,0.04
563.548,0.04
563.785,0.04
564.023,0.04
564.26,0.04
564.498,0.04
564.735,0.04
564.972,0.04
565.21,0.04
565.447,0.04
565.684,0.04
565.922,0.04
566.159,0.04
566.396,0.04
566.633,0.04
566.871,0.03
567.108,0.03
567.345,0.02
567.582,0.02
567.819,0.01
568.056,0.01
568.293,0.01
568.531,0
568.768,0.01
569.005,0
569.242,0
569.479,0
569.716,0
569.953,0
570.19,0
570.427,0
570.663,0
570.9,0
571.137,0
571.374,0
571.611,0
571.848,0
572.085,0.01
572.321,0.01
572.558,0.01
572.795,0.01
573.032,0.01
573.268,0.01
573.505,0.01
573.742,0
573.978,
574.215,
574.452,
574.688,
574.925,
575.161,
575.398,
575.634,
575.871,
576.107,
576.344,
576.58,
576.817,
577.053,
577.29,
577.526,
577.762,
577.999,
578.235,
578.471,
578.708,
578.944,
579.18,
579.416,
579.652,
579.889,
580.125,
580.361,
580.597,
580.833,
581.069,
581.305,
581.541,
581.778,
582.014,
582.25,
582.486,
582.721,
582.957,
583.193,
583.429,
